               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10415,            0.052106,            0.064853,             0.61896,             0.10143,            0.022116,           0.0080688,            0.093933,            0.026638,            0.062643,            0.070195,           0.0033117,           0.0033117
                   1,            0.081415,            0.049041,            0.049131,             0.78168,             0.10608,            0.055536,            0.019671,            0.090008,            0.022774,             0.05768,            0.040063,           0.0065135,           0.0065135
                   2,            0.081114,            0.045615,            0.041131,             0.87356,            0.086694,            0.096817,             0.03774,            0.085918,            0.027695,            0.054398,           0.0097997,           0.0095832,           0.0095832
                   3,            0.072022,            0.044261,            0.036606,              0.6276,             0.14112,             0.11963,            0.049736,            0.081476,            0.025889,            0.051314,            0.009406,            0.009406,            0.009406
                   4,            0.064944,            0.043504,            0.033235,             0.48148,               0.146,              0.1219,            0.068885,            0.078548,            0.024849,            0.049705,            0.009406,            0.009406,            0.009406
                   5,            0.062199,            0.042536,             0.03106,             0.52761,             0.15345,             0.11984,            0.063663,            0.078024,            0.025857,             0.04768,            0.009208,            0.009208,            0.009208
                   6,             0.05903,            0.042884,            0.029889,             0.51122,             0.16115,             0.14827,            0.083754,            0.075481,            0.024143,            0.046943,             0.00901,             0.00901,             0.00901
                   7,            0.056845,            0.042885,            0.028276,             0.64397,             0.16064,               0.161,             0.10749,            0.075725,            0.022975,            0.046972,            0.008812,            0.008812,            0.008812
                   8,            0.056373,            0.042362,             0.02648,             0.67565,             0.16556,             0.18072,             0.10639,            0.075829,             0.02432,            0.046475,            0.008614,            0.008614,            0.008614
                   9,            0.054444,            0.040415,            0.024905,             0.64349,             0.17284,             0.15722,             0.10696,            0.075369,            0.024272,            0.044277,            0.008416,            0.008416,            0.008416
                  10,             0.05442,            0.042467,              0.0244,             0.64264,              0.1693,             0.17124,            0.096531,            0.075449,            0.024944,            0.044774,            0.008218,            0.008218,            0.008218
                  11,            0.052036,            0.041294,            0.023654,             0.78257,             0.15686,             0.16802,             0.11253,            0.075097,            0.027335,            0.045013,             0.00802,             0.00802,             0.00802
                  12,            0.051791,            0.041559,            0.022594,             0.51939,             0.18688,             0.16917,            0.098039,            0.077093,            0.022328,            0.043449,            0.007822,            0.007822,            0.007822
                  13,             0.05052,            0.039934,            0.021933,             0.55231,             0.20494,             0.18432,             0.10562,            0.075667,            0.024771,            0.043458,            0.007624,            0.007624,            0.007624
                  14,            0.049287,            0.037455,            0.020631,              0.5381,             0.20026,             0.18268,             0.11644,            0.075804,            0.024576,            0.044421,            0.007426,            0.007426,            0.007426
                  15,            0.049895,            0.039414,            0.021265,             0.56189,             0.19469,             0.17697,             0.10664,            0.074018,            0.024694,            0.044197,            0.007228,            0.007228,            0.007228
                  16,            0.047836,            0.036773,            0.019435,             0.56811,             0.19698,              0.1839,             0.12371,            0.073718,            0.024698,            0.043307,             0.00703,             0.00703,             0.00703
                  17,            0.048388,            0.039797,            0.018947,             0.55156,             0.20125,             0.18496,             0.12412,            0.074405,            0.023842,              0.0468,            0.006832,            0.006832,            0.006832
                  18,            0.047848,            0.042161,            0.018511,              0.6697,             0.19468,             0.18599,             0.12381,             0.07436,            0.024104,            0.047449,            0.006634,            0.006634,            0.006634
                  19,            0.047453,            0.037164,            0.018481,             0.56853,              0.2016,             0.18806,             0.12686,            0.075421,            0.023073,            0.045772,            0.006436,            0.006436,            0.006436
                  20,            0.045765,            0.036291,            0.017043,             0.59067,             0.19182,             0.18734,             0.11597,            0.075267,            0.024302,            0.047795,            0.006238,            0.006238,            0.006238
                  21,            0.044949,            0.037244,            0.017072,             0.57811,             0.19546,             0.18992,             0.11667,            0.074908,            0.023166,            0.046903,             0.00604,             0.00604,             0.00604
                  22,            0.045097,            0.036626,            0.016215,             0.62256,             0.19011,             0.19095,             0.12133,            0.074052,             0.02323,            0.045788,            0.005842,            0.005842,            0.005842
                  23,            0.045454,            0.037183,            0.015988,              0.5997,             0.18058,             0.18681,             0.12025,             0.07589,             0.02469,            0.049889,            0.005644,            0.005644,            0.005644
                  24,            0.043348,            0.035542,            0.015378,              0.5876,             0.19118,              0.1829,             0.12551,            0.074684,             0.02461,            0.050664,            0.005446,            0.005446,            0.005446
                  25,             0.04482,            0.036748,            0.015336,             0.68667,             0.17768,             0.18287,             0.11927,            0.074421,              0.0251,            0.046822,            0.005248,            0.005248,            0.005248
                  26,            0.042917,             0.03487,             0.01454,             0.61322,              0.2004,             0.18762,              0.1249,            0.074078,            0.024874,            0.051347,             0.00505,             0.00505,             0.00505
                  27,            0.042665,            0.035264,            0.014176,              0.5933,             0.18643,             0.18497,              0.1258,            0.074676,            0.023303,            0.046937,            0.004852,            0.004852,            0.004852
                  28,              0.0425,            0.034641,            0.014176,             0.62177,             0.18961,             0.18822,             0.12735,            0.072983,            0.024106,            0.048195,            0.004654,            0.004654,            0.004654
                  29,            0.041203,            0.035082,            0.012948,             0.58496,             0.19973,             0.18329,             0.12806,            0.073707,            0.023569,             0.04875,            0.004456,            0.004456,            0.004456
                  30,            0.042048,            0.035948,            0.013457,             0.50003,             0.20619,             0.19002,             0.13161,            0.074467,            0.024681,            0.049255,            0.004258,            0.004258,            0.004258
                  31,            0.041455,            0.034747,               0.013,             0.49963,             0.19822,             0.18588,             0.12906,            0.073796,             0.02356,            0.047885,             0.00406,             0.00406,             0.00406
                  32,            0.040891,            0.035894,            0.013141,             0.55435,             0.20492,             0.18533,             0.12643,            0.073637,            0.024134,            0.048043,            0.003862,            0.003862,            0.003862
                  33,             0.04126,            0.033979,            0.012346,             0.61451,             0.17751,             0.19067,             0.13326,            0.073432,            0.023655,            0.049796,            0.003664,            0.003664,            0.003664
                  34,            0.041157,            0.035106,            0.012498,             0.58645,              0.2007,             0.19033,             0.13178,            0.074153,            0.023506,             0.04869,            0.003466,            0.003466,            0.003466
                  35,            0.040646,            0.036375,            0.011365,             0.62801,             0.19351,             0.19278,             0.13083,            0.073748,             0.02383,             0.04757,            0.003268,            0.003268,            0.003268
                  36,            0.040755,            0.032884,            0.011775,             0.61228,             0.19246,             0.19717,             0.13309,            0.074332,            0.023225,            0.048639,             0.00307,             0.00307,             0.00307
                  37,            0.039685,            0.033779,            0.011728,             0.57523,             0.20533,             0.19056,             0.12957,            0.075328,            0.024822,            0.048052,            0.002872,            0.002872,            0.002872
                  38,            0.040053,            0.034509,            0.011377,             0.62173,             0.19495,             0.18969,             0.13036,            0.074549,            0.024666,            0.048063,            0.002674,            0.002674,            0.002674
                  39,             0.03917,            0.034021,            0.010502,             0.59063,             0.19089,             0.18466,             0.12766,            0.074993,             0.02424,             0.04734,            0.002476,            0.002476,            0.002476
                  40,            0.037906,            0.034093,            0.010213,             0.62148,              0.1948,             0.19209,             0.13063,            0.074237,            0.024213,            0.047474,            0.002278,            0.002278,            0.002278
                  41,            0.038409,            0.034334,            0.010992,             0.51306,              0.2107,             0.19026,             0.13392,            0.073818,            0.025341,            0.047513,             0.00208,             0.00208,             0.00208
                  42,            0.037728,            0.033325,            0.010023,             0.56085,             0.19845,             0.20428,             0.13742,            0.074023,              0.0249,            0.047351,            0.001882,            0.001882,            0.001882
                  43,            0.038026,            0.034512,            0.010153,              0.6103,             0.19941,             0.19329,             0.13422,            0.073976,            0.025131,             0.04717,            0.001684,            0.001684,            0.001684
                  44,             0.03677,             0.03282,           0.0095129,             0.58283,             0.20617,             0.19503,             0.13755,            0.073534,            0.024358,             0.04678,            0.001486,            0.001486,            0.001486
                  45,            0.036528,            0.032001,           0.0096121,              0.6436,             0.19411,             0.20452,             0.13877,            0.073276,             0.02439,            0.047853,            0.001288,            0.001288,            0.001288
                  46,             0.03707,            0.033483,           0.0095905,             0.64857,             0.19534,             0.20765,             0.14404,            0.073072,            0.025109,            0.048274,             0.00109,             0.00109,             0.00109
                  47,            0.036701,            0.033325,           0.0089907,             0.62862,              0.1941,             0.20341,             0.14022,            0.073438,            0.025171,            0.048408,            0.000892,            0.000892,            0.000892
                  48,            0.036898,            0.033271,           0.0095175,             0.61324,             0.19434,             0.19921,             0.13988,            0.073174,            0.025646,            0.049235,            0.000694,            0.000694,            0.000694
                  49,            0.035955,            0.032516,           0.0094541,             0.63449,             0.19648,             0.19941,             0.14182,            0.073154,            0.025559,            0.048902,            0.000496,            0.000496,            0.000496
